given,family,sequence,affiliation,DOI
Mikko,Rask,additional,"University of Helsinki, Finland",10.1177/21582440211032163
Harri,Raisio,additional,"University of Vaasa, Finland",10.1177/21582440211032163
Hsin-Yi,Chen,first,"Chung Shan Medical University, Taichung",10.1177/2158244020988287
I-Chen,Tang,additional,"Chung Shan Medical University, Taichung",10.1177/2158244020988287
Dua’ Yousef,Al-Maharma,first,"The University of Jordan, Amman, Jordan",10.1177/21582440211024555
Reema Rafik,Safadi,additional,"The University of Jordan, Amman, Jordan",10.1177/21582440211024555
Roberta,Durham,additional,"California State University, East Bay, USA",10.1177/21582440211024555
Suhaila Naim,Halasa,additional,"The University of Jordan, Amman, Jordan",10.1177/21582440211024555
Omayyah Saeed,Nassar,additional,"The University of Jordan, Amman, Jordan",10.1177/21582440211024555
Yuqin,Huang,first,"East China University of Science and Technology, Shanghai, P.R. China",10.1177/2158244021994816
Signe Hjelen,Stige,first,"Department of Clinical Psychology, University of Bergen, Bergen, Norway",10.1177/21582440211009506
Per-Einar,Binder,additional,"Department of Clinical Psychology, University of Bergen, Bergen, Norway",10.1177/21582440211009506
Jan Reidar,Stiegler,additional,"Institute for Psychological Counselling, Bergen, Norway",10.1177/21582440211009506
Elisabeth,Schanche,additional,"Department of Clinical Psychology, University of Bergen, Bergen, Norway",10.1177/21582440211009506
Didrik Andreassen,Hummelslund,additional,"Institute for Psychological Counselling, Bergen, Norway",10.1177/21582440211009506
Aslak,Hjeltnes,additional,"Department of Clinical Psychology, University of Bergen, Bergen, Norway",10.1177/21582440211009506
Zhibiao,Wang,first,"Yangtze Normal University, Chongqing, China + Henan University, Kaifeng, China",10.1177/21582440211030275
Panpan,Yang,additional,"Zhengzhou University of Economics and Business, China",10.1177/21582440211030275
Dan,Li,additional,"Donghua University, Shanghai, China",10.1177/21582440211030275
Xi,Chen,first,"Shandong Jianzhu University, Jinan, China",10.1177/21582440211052951
Xiangdong,Shen,additional,"Changshu Institute of Technology, China",10.1177/21582440211052951
Xiangmeng,Huang,additional,"Changshu Institute of Technology, China",10.1177/21582440211052951
Yu,Li,additional,"Shandong University of Finance and Economics, Jinan, China",10.1177/21582440211052951
Jihyon,Pahn,first,"College of Nursing, Institute for Southeast Asian Studies, Jeonbuk National University, Jeonju, Republic of Korea",10.1177/21582440211004163
Youngran,Yang,additional,"College of Nursing, Institute for Southeast Asian Studies, Jeonbuk National University, Jeonju, Republic of Korea",10.1177/21582440211004163
Muhammad Azeem,Qureshi,first,"Oslo Metropolitan University, Norway",10.1177/21582440211021598
Minhas,Akbar,additional,"COMSATS University Islamabad, Sahiwal Campus, Sahiwal, Pakistan",10.1177/21582440211021598
Ahsan,Akbar,additional,"Guangzhou College of South China University of Technology, Guangzhou, China",10.1177/21582440211021598
Petra,Poulova,additional,"University of Hradec Kralove, Czech Republic",10.1177/21582440211021598
Muhammad,Nadim,first,"Capital University of Science & Technology, Islamabad, Pakistan",10.1177/21582440211058185
Mueen Aizaz,Zafar,additional,"Capital University of Science & Technology, Islamabad, Pakistan",10.1177/21582440211058185
Zenan,Zhong,first,"Guangdong University of Finance, Guangzhou, China",10.1177/21582440211019730
Shukun,Chen,additional,"Guangdong University of Finance, Guangzhou, China",10.1177/21582440211019730
Winfred Wenhui,Xuan,additional,"The Hong Kong Polytechnic University, Kowloon, Hong Kong",10.1177/21582440211019730
Asif,Mahmood,first,"Namal Institute, Mianwali, Pakistan",10.1177/21582440211067232
Shazia,Manzoor,additional,"University of Engineering and Technology, Lahore, Pakistan",10.1177/21582440211067232
Leovardo Mata,Mata,first,"Universidad Anáhuac México, Huixquilucan, Mexico",10.1177/21582440211009509
José Antonio,Núñez Mora,additional,"EGADE Business School, Tecnológico de Monterrey, Ciudad de México, Mexico",10.1177/21582440211009509
Ramona,Serrano Bautista,additional,"Universidad Panamericana, Zapopan, México",10.1177/21582440211009509
Donghong,Liu,first,"Central China Normal University, Wuhan, China",10.1177/2158244020988518
Jing,Huang,additional,"Hong Kong Baptist University, Kowloon, Hong Kong",10.1177/2158244020988518
Bertina,Sjabadhyni,first,"Universitas Indonesia, Depok, Indonesia",10.1177/21582440211029918
Martina,Dwi Mustika,additional,"Universitas Indonesia, Depok, Indonesia",10.1177/21582440211029918
Nathasia,Carissa,additional,"Universitas Indonesia, Depok, Indonesia",10.1177/21582440211029918
Syifa,Khairunnisa,additional,"Universitas Indonesia, Depok, Indonesia",10.1177/21582440211029918
Leo Andhika,Kurniawan,additional,"Universitas Indonesia, Depok, Indonesia",10.1177/21582440211029918
Amira Budi,Mutiara,additional,"Universitas Indonesia, Depok, Indonesia",10.1177/21582440211029918
Retno,Putriaji,additional,"Universitas Indonesia, Depok, Indonesia",10.1177/21582440211029918
Andre Patio,Sinaga,additional,"Universitas Indonesia, Depok, Indonesia",10.1177/21582440211029918
Benjamin Ohene Kwapong,Baffoe,first,"Institute of Logistics Science and Engineering, Shanghai Maritime University, Pudong New Area, Shanghai, P. R. China",10.1177/21582440211047246
Wenping,Luo,additional,"School of Economics and Management, Shanghai Maritime University, Pudong New Area, Shanghai, P. R. China",10.1177/21582440211047246
Lucian,Dumitrescu,first,"Romanian Academy, Bucharest, Romania",10.1177/2158244021998345
Laura,Kemppainen,first,"University of Helsinki, Finland",10.1177/21582440211013792
Veera,Koskinen,additional,"University of Helsinki, Finland",10.1177/21582440211013792
Harley,Bergroth,additional,"University of Turku, Finland",10.1177/21582440211013792
Eetu,Marttila,additional,"University of Turku, Finland",10.1177/21582440211013792
Teemu,Kemppainen,additional,"University of Helsinki, Finland",10.1177/21582440211013792
Sien Leong,Liew,first,"Universiti Putra Malaysia, Serdang, Malaysia",10.1177/2158244021998658
Siti Rahayu,Hussin,additional,"Universiti Putra Malaysia, Serdang, Malaysia",10.1177/2158244021998658
Nawal Hanim,Abdullah,additional,"Universiti Putra Malaysia, Serdang, Malaysia",10.1177/2158244021998658
Arif Ahmed Mohammed Hassan,Al-Ahdal,first,"Qassim University, Buraidah, Saudi Arabia",10.1177/2158244021999062
Mohammed Abdullah,Alharbi,additional,"Majmaah University, Majmaah, Saudi Arabia",10.1177/2158244021999062
Affifa,Sardar,first,"Bahria University-Karachi Campus, Karachi, Pakistan",10.1177/21582440211052547
Amir,Manzoor,additional,"Bahria University-Karachi Campus, Karachi, Pakistan",10.1177/21582440211052547
Khurram Adeel,Shaikh,additional,"Bahria University-Karachi Campus, Karachi, Pakistan",10.1177/21582440211052547
Liaqat,Ali,additional,"Bahria University-Karachi Campus, Karachi, Pakistan",10.1177/21582440211052547
Ai,Suzuki,first,"The University of Tokyo, Bunkyo-ku, Tokyo, Japan",10.1177/21582440211058197
Hirono,Ishikawa,additional,"The University of Tokyo, Bunkyo-ku, Tokyo, Japan",10.1177/21582440211058197
Masafumi,Okada,additional,"The University of Tokyo, Bunkyo-ku, Tokyo, Japan",10.1177/21582440211058197
KM Atikur,Rahman,first,"Shanghai University, China",10.1177/21582440211054473
Md. Abu Naim,Shorkar,additional,"Shanghai University, China",10.1177/21582440211054473
Mohammed,Issah,first,"University of Bahrain, Zallaq, Bahrain",10.1177/21582440211027564
Alexander,Ptashkin,first,"National Research Tomsk Polytechnic University, Russian Federation",10.1177/21582440211032670
Tarek Ismail,Mohamed,first,"Ajman University, United Arab Emirates",10.1177/2158244021998360
Shuai,Liu,first,"University of Science and Technology Beijing, China",10.1177/21582440211032165
Jingyuan,Zhang,additional,"University of Science and Technology Beijing, China",10.1177/21582440211032165
Ana Elena,Builes-Vélez,first,"Universidad Pontificia Bolivariana, Medellín, Colombia + Grupo de Investigación en Arquitectura, Urbanismo y Paisaje, Medellín, Colombia",10.1177/21582440211038307
Lina María,Suárez Vesquez,additional,"Institución Universitaria Pascual Bravo, Medellín, Colombia",10.1177/21582440211038307
Leonardo,Correa Velásquez,additional,"Universidad de San Buenaventura Medellín, Colombia",10.1177/21582440211038307
Diana Carolina,Gutiérrez Aristizábal,additional,"Independent Researcher, Medellín, Colombia",10.1177/21582440211038307
Shreemathi S.,Mayya,first,"Prasanna School of Public Health, Manipal Academy of Higher Education, India",10.1177/2158244020983272
Maxie,Martis,additional,"All India Institute of Medical Sciences, Bhopal, India",10.1177/2158244020983272
Lena,Ashok,additional,"Prasanna School of Public Health, Manipal Academy of Higher Education, India",10.1177/2158244020983272
Ashma Dorothy,Monteiro,additional,"Prasanna School of Public Health, Manipal Academy of Higher Education, India",10.1177/2158244020983272
Di,Ye,first,"Huaqiao University, Quanzhou, P.R. China",10.1177/21582440211031604
